id,language,context,target,max_width
0,French,"Le 01.05.2014, le tourisme et le secteur du voyage montrent des tendances claires. Les gens voyagent plus souvent, mais ils cherchent des prix bas et des offres simples. Les vols à bas coût continuent de progresser en Europe et dans le monde. Dans les villes européennes, les","touristes viennent en grand nombre, et les trains rapides facilitent les déplacements.",812
1,English,"On 01.05.2014, tourism and the travel sector show clear trends. People travel more often, but they look for low prices and simple offers. Low-cost flights continue to grow in Europe and around the world. In European cities, tourists","come in large numbers, and fast trains make travel easier.",561
2,French,"Pour l'avenir, on voit une tendance vers le tourisme durable: hôtels plus respectueux de l'environnement, moins de déchets, et une attention aux populations locales. Les destinations nouvelles comme l'Asie et certains pays d'Afrique ou d'Amérique latine attirent des visiteurs, tandis que la France, l'Espagne et l'Italie restent très populaires. Les voyageurs","aiment aussi les expériences locales: cuisiner, marcher en plein air, rencontrer les habitants.",887
3,English,"For the future, one sees a trend toward sustainable tourism: hotels more respectful of the environment, less waste, and attention to local populations. New destinations like Asia and some countries in Africa or Latin America attract visitors, while France, Spain, and Italy remain very","popular. Travelers also enjoy local experiences: cooking, walking outdoors, meeting the locals.",922
4,French,"Les guides locaux et les petites entreprises proposent des circuits simples et transparents. Le secteur se concentre sur la sécurité et la fiabilité des informations en ligne. En résumé, 2014 est une année où le numérique aide les voyages, les prix restent compétitifs et les voyageurs cherchent des",expériences variées et authentiques tout en respectant l'environnement et les cultures locales.,901
5,English,"Local guides and small businesses offer simple and transparent tours. The sector focuses on safety and reliability of online information. In short, 2014 is a year when digital tools help travel, prices stay competitive, and travelers seek varied",and authentic experiences while respecting the environment and local cultures.,766
6,French,"Les fabricants comme TSMC et Samsung ont besoin de nouvelles usines et de nouveaux outils. Les usines sont grandes, coûteuses et difficiles à changer rapidement. Les investissements",dans les équipements avancés augmentent chaque trimestre.,585
7,English,"Manufacturers like TSMC and Samsung need new factories and new tools. Factories are large, costly and difficult to change quickly. Investments",in advanced equipment rise each quarter.,402
8,French,"Parfois, les prix des puces mémoire montent, puis ils baissent, selon l’offre et la demande. Les puces mémoire DRAM et NAND jouent un rôle important pour les données des utilisateurs. Les fabricants veulent",économiser de l’énergie et diminuer la taille des puces.,538
9,English,"Sometimes the prices of memory chips rise, then fall, depending on supply and demand. Memory chips DRAM and NAND play an important role for users’ data. Manufacturers want to",save energy and reduce the size of chips.,401
10,French,"Une autre tendance est la miniaturisation, qui rend les puces plus performantes et moins gourmandes en énergie. L’industrie voit aussi une forte concurrence entre les grandes entreprises et les petites startups. En 2017, on parle de",nouvelles techniques de fabrication et d’outils pour fabriquer les puces.,695
11,English,"Another trend is miniaturization, which makes chips more powerful and less energy hungry. The industry also sees strong competition between large companies and small startups. In 2017, people talk about",new fabrication techniques and tools to make chips.,507
12,French,Les progrès permettent d’augmenter le nombre de transistors sur une puce. Mais ces progrès exigent des investissements très élevés et des compétences spécialisées. Le secteur doit,aussi gérer des chaînes d’approvisionnement mondiales complexes.,659
13,English,Advances allow more transistors on a chip. But these advances require very high investments and specialized skills. The sector must,also manage complex global supply chains.,427
14,French,"Des tensions peuvent apparaître à cause des marchés émergents ou des tarifs commerciaux. Malgré cela, la croissance est soutenue par l’informatique en nuage, l’intelligence artificielle et l’Internet des objets. Les ingénieurs travaillent sur des",puces pour les voitures connectées et les systèmes robotiques.,605
15,English,"Tensions may appear because of emerging markets or trade tariffs. Despite this, growth is supported by cloud computing, artificial intelligence and the Internet of Things. Engineers work on",chips for connected cars and robotic systems.,445
16,French,"Pour les consommateurs, cela signifie des téléphones plus rapides, des ordinateurs plus puissants et des objets plus intelligents. En bref, l’année 2017 voit des investissements importants, une demande solide et des progrès technologiques, mais aussi des défis de production et de coût. Le futur",dépendra de la capacité des entreprises à investir intelligemment et à innover.,753
17,English,"For consumers, this means faster phones, more powerful computers and smarter objects. In short, 2017 sees important investments, solid demand and technological progress, but also production and cost challenges. The future will depend on the",ability of companies to invest wisely and to innovate.,523
18,French,"Écrit le 15 janvier 2022, je regarde le monde des startups et le capital-risque. Le marché est actif et les idées nouvelles arrivent souvent. Des petites équipes créent des entreprises dans la tech, la santé, l'énergie et la fintech. Le","capital-risque, ou VC, est toujours important au début de l'année.",634
19,English,"Written on January 15, 2022, I look at the world of startups and venture capital. The market is active and new ideas arrive often. Small teams create companies in tech, health, energy, and fintech. Venture capital, or","VC, is still important at the start of the year.",432
20,French,"Des investisseurs donnent de l'argent pour aider les startups à grandir, souvent en échange d'une part de l'entreprise. Beaucoup de projets veulent résoudre des problèmes réels, comme la meilleure information en ligne, les soins de santé à distance, l'énergie propre et les paiements simples. En 2021, les levées de fonds étaient fortes, et en 2022 cela continue, même si l'économie","change. Les investisseurs regardent la croissance, le chiffre d'affaires et le potentiel sur d'autres marchés.",1016
21,English,"Investors give money to help startups grow, often in exchange for a share of the company. Many projects want to solve real problems, such as better information online, remote healthcare, clean energy, and simple payments. In 2021, fundraising was strong, and in 2022 it continues, even if the","economy changes. Investors look at growth, revenue, and potential in other markets.",820
22,French,"Pour réussir, une startup doit avoir un plan clair, un produit qui plaît et une équipe motivée. Les investisseurs aussi aident avec des conseils et des réseaux. En ce début de 2022, l'avenir des startups dépend","de l'innovation, de la confiance et d'un travail solide.",516
23,English,"To succeed, a startup must have a clear plan, a product that people like, and a motivated team. Investors also help with advice and networks. At the start of 2022, the future","of startups depends on innovation, trust, and hard work.",545
24,French,"Par exemple, les petites entreprises locales peuvent tester des services en ligne pour aider les gens. On voit aussi plus d'échanges entre les startups et les grandes entreprises, ce qui apporte des conseils et des opportunités. Pour les étudiants ou les entrepreneurs débutants, il est utile de",suivre des formations simples et de demander de l'aide à des mentors.,678
25,English,"For example, small local businesses can test online services to help people. We also see more exchanges between startups and large companies, which brings advice and opportunities. For students or beginner entrepreneurs, it is useful to",take simple courses and ask for help from mentors.,500
26,French,"Aujourd'hui, nous sommes le 5 janvier 2012 et nous écrivons depuis les marchés financiers. Les places boursières ouvrent la semaine avec prudence et calme relatif. En Europe, les bourses restent sensibles à la dette de la zone euro et aux incertitudes en Grèce. Le CAC 40",ouvre légèrement en baisse et se maintient autour de son niveau d’hier.,690
27,English,"Today, we are January 5, 2012, and we are writing from the financial markets. The stock exchanges open the week with caution and relative calm. In Europe, the exchanges remain sensitive to the debt in the euro area and to the uncertainties in Greece. The",CAC 40 opens slightly lower and stays around its level from yesterday.,694
28,French,"Le DAX allemand grimpe légèrement grâce à quelques bonnes nouvelles industrielles. Le FTSE 100 britannique évolue aussi lentement. À Paris et dans plusieurs grandes villes européennes, les investisseurs observent les courbes et les chiffres économiques. Aux États‑Unis, la Bourse de New York ouvre sans grande",direction. Les traders attendent des chiffres sur l’emploi et sur la croissance.,741
29,English,"The German DAX rises slightly thanks to some good industrial news. The FTSE 100 British also moves slowly. In Paris and several major European cities, investors watch the curves and the economic figures. In the United States,",the New York Stock Exchange opens without a clear direction.,612
30,French,"Ils écoutent aussi les discours des responsables de la Réserve fédérale pour savoir si les taux resteront bas longtemps. Les indices évoluent autour de l’équilibre, sans grands mouvements pour l’instant. L’or et le pétrole varient peu,",mais les cours peuvent changer rapidement si une nouvelle survient.,665
31,English,Traders await employment data and growth figures. They also listen to speeches by Federal Reserve officials to know if rates will stay low for a long time. Indices move,"around balance, with no big moves for now.",432
32,French,"Les marchés restent fébriles et dépendants des informations économiques et des décisions politiques. Cette semaine, la zone euro et les États‑Unis donneront le ton des marchés. Nous continuerons à vous tenir informés",des mouvements importants et des points à surveiller.,523
33,English,"In summary, the day is calm but attentive. Markets remain jittery and dependent on economic information and policy decisions. This week, the euro area and the United States",will set the tone for the markets.,320
34,French,"Le 14 avril 2017, j'écris dans mon cahier sur l'eau et sur la façon dont on peut la protéger. Dans beaucoup de régions du monde, l'eau devient rare à cause du climat et de la pollution. L'eau potable est nécessaire pour boire, cuisiner et se laver.","Sans eau, les villes, les écoles et les usines ont des problèmes.",605
35,English,"On 14 April 2017, I write in my notebook about water and how we can protect it. In many regions of the world, water is becoming scarce because of the climate and pollution. Drinking water is necessary to drink, cook,","and wash. Without water, cities, schools, and factories have problems.",682
36,French,"Pour gérer l'eau, les autorités construisent des réservoirs, réparent les canalisations et modernisent les réseaux. Elles apprennent aussi à mieux répartir l'eau et à l'utiliser avec intelligence. Elles encouragent les gens à économiser l'eau, par exemple en fermant le robinet en",se brossant les dents et en prenant des douches plus courtes.,585
37,English,"To manage water, the authorities build reservoirs, repair pipes, and modernize the networks. They also learn to distribute water more evenly and to use it wisely. They encourage people to save water, for example by turning",off the tap while brushing teeth and taking shorter showers.,580
38,French,"Elles mesurent aussi la consommation d'eau dans les maisons et dans les champs. Dans l'agriculture, on cherche des méthodes simples comme l'irrigation au goutte-à-goutte et le paillage des sols. Cela permet d'économiser",de nombreuses litres sans nuire à la production.,466
39,English,"They also measure water use in homes and in fields. In agriculture, people look for simple methods like drip irrigation and mulching the soil. This",helps save many liters without harming production.,504
40,French,"On peut recycler l'eau usée pour arroser les jardins et les espaces verts quand c'est sûr et possible. Les habitants reçoivent des conseils simples: réparer les fuites, ne pas laisser couler l'eau inutilement et choisir des appareils qui consomment moins d'eau. Les écoles et",les entreprises participent aussi: elles montrent des exemples et partagent des idées.,811
41,English,"Water can be recycled from used water to water gardens and green spaces when it is safe and possible. Residents receive simple advice: fix leaks, do not let water run needlessly, and choose devices that use less water. Schools and",businesses also take part: they show examples and share ideas.,612
42,French,"En ville, les compteurs d'eau aident chacun à voir sa propre consommation. Les enfants peuvent apprendre à économiser l'eau à l'école et à la maison. J'espère que cet été sera meilleur, qu'il pleuvra parfois et qu'il y aura assez",d'eau pour tout le monde et pour les générations futures.,549
43,English,"In the city, water meters help everyone see their own consumption. Children can learn to save water at school and at home. I hope that this summer will be better, that it will sometimes rain, and that there",will be enough water for everyone and for future generations.,601
44,French,"Le 6 avril 1998, le monde économique est devant nous. Dans plusieurs pays, la croissance est encore possible, mais elle est plus lente qu’avant. Aux États‑Unis, l’activité économique va bien.",Les entreprises produisent plus et embauchent un peu.,530
45,English,"On April 6, 1998, the world economy stands before us. In several countries, growth is still possible, but it is slower than before. In the United States, economic activity is going",well. Companies produce more and hire a little.,467
46,French,"Les familles dépensent pour la nourriture, le logement et les loisirs. En Europe, la situation est différente. La croissance est",plus modeste et l’inflation reste faible.,380
47,English,"Families spend on food, housing, and leisure. In Europe, the situation is different. Growth is more",modest and inflation remains low.,336
48,French,"Les prix des biens de consommation ne montent pas vite, ce qui aide les ménages. Au Japon et dans les pays d’Asie, les effets de la crise financière de 1997 se ressentent. Les",marchés restent instables et les banques surveillent les prêts.,589
49,English,"Prices of consumer goods do not rise quickly, which helps households. In Japan and in Asian countries, the effects of the 1997 financial crisis are felt.",Markets stay unstable and banks monitor loans.,467
50,French,"Le pétrole et d’autres matières premières restent stables, ce qui aide les prix. Beaucoup de pays veulent faire des réformes pour être plus compétitifs et pour créer des emplois. Le travail devient parfois plus flexible dans certains",secteurs et les investissements dans l’éducation et les technologies augmentent.,771
51,English,"Oil and other raw materials remain stable, which helps prices. Many countries want to make reforms to be more competitive and to create jobs. Work becomes sometimes more flexible in some",sectors and investments in education and technology increase.,606
52,French,"Les jeunes, les femmes, les travailleurs et les étudiants participent ensemble. Les mouvements pour les droits des femmes demandent l'égalité et le respect dans les familles et au travail. Les syndicats aident les travailleurs à obtenir de meilleures conditions.",Des enfants et des familles réclament la protection et l'avenir.,600
53,English,"Young people, women, workers, and students participate together. Movements for women's rights demand equality and respect in families and at work. Unions help workers obtain better conditions. Children",and families demand protection and the future.,459
