id,language,context,target,max_width
1436,German,"Experten sagen, dass KI nur gut funktioniert, wenn Menschen sie gut vorbereiten und die Daten sauber sind. Die Systeme brauchen viel Übung an Beispielen und klare Ziele. Neben der",Technik gibt es auch ethische und soziale Fragen.,486
1313,English,"Being honest, respecting others and caring for the truth are basic ideas. Freedom and responsibility also matter. What do we do when",there are conflicts between different ideas?,422
17,English,"For consumers, this means faster phones, more powerful computers and smarter objects. In short, 2017 sees important investments, solid demand and technological progress, but also production and cost challenges. The future will depend on the",ability of companies to invest wisely and to innovate.,523
564,German,"In vielen Ländern gibt es Hilfsplattformen im Internet, die Spenden sammeln und Projekte vorstellen. Sie helfen Menschen, die richtigen Hilfsprojekte zu finden und zu unterstützen. Ich habe in","Berichten gesehen, wie lokale Gemeinden eigene Ressourcen mobilisieren.",732
916,French,Cette note est écrite le 21.11.1994. Le climat change. On parle beaucoup du réchauffement climatique. La politique,environnementale cherche des solutions simples.,479
544,German,"Für den Alltag bedeuten diese Entwicklungen mehr Komfort, Zeitersparnis und Spaß. Aber man soll auch nicht zu viel Geld ausgeben. Wer kauft,",vergleicht sorgfältig und liest die Garantien.,433
355,English,"In the neighborhood factory, a team has installed a wind turbine. The turbine spins with the wind and produces energy for the plant. Children visit the factory to learn; they see how the wind pushes the",blades and how the electricity comes out of the wires.,527
873,English,"A phone can call, send messages, and view photos. We also see electronic tablets in some shops, but they cost more. For entertainment, there are MP3 players and game",consoles. Televisions have flat screens and clear images.,553
1387,English,"With 5G, these things can communicate in real time. In cities, the expansion of 5G can create new services: high-quality video calls, online gaming without lag, and remote health",services. Some people ask if 5G is safe.,391
1390,Spanish,"Es 16 de noviembre de 1990 y quiero escribir sobre derechos humanos y justicia social. En muchos países, la gente quiere vivir con libertad y con dignidad. Las personas se","organizan, hablan y actúan para cambiar las cosas.",494
817,English,Special antibodies and small molecules play an important role. Clinical trials advance in several countries. Some patients may test new,medicines as part of trials.,263
160,German,"Die Einführung der ePA erfolgt schrittweise, und es braucht Zeit, bis alle Ärztinnen, Ärzte und Pflegekräfte sich daran gewöhnen. Gleichzeitig wächst die Bedeutung von Telemedizin, besonders in ländlichen Regionen, wo der Zugang zu Fachärzten begrenzt ist. Über das Internet können Spezialisten Patienten beraten, Bilder von Röntgenaufnahmen prüfen oder Diagnosen mit dem Hausarzt besprechen.","In der Notaufnahme unterstützen Telemedizin-Systeme den Ersthelfern, damit sie schneller eine richtige Entscheidung treffen.",1223
657,English,"Another important platform is Facebook. Originally Facebook was only for students, but since this year other people may join as well. It is exciting to see how quickly one",can make new contacts without leaving the house.,491
716,German,"Unterschiedliche Länder führen Pilotprojekte durch, in denen neue Funkfrequenzen ausprobiert werden und gemessen wird, wie stabil das Netz ist. In Deutschland arbeiten Unternehmen wie die Telekom und andere Anbieter mit Forschungseinrichtungen zusammen, um zu prüfen, welche",Technologie sich am besten eignet. Gleichzeitig gibt es viele Herausforderungen.,789
372,Italian,"Oggi è il 31 marzo 2010. Nella scuola, al lavoro e in casa, molte persone hanno sentito parlare di intelligenza artificiale, o IA. L'IA è un campo dell'informatica che cerca di far fare ai computer cose",che richiederebbero intelligenza umana. In questo periodo vediamo progressi interessanti.,872
414,Italian,Le autorità vogliono proteggere i consumatori. In Italia si lavora per aprire di più il mercato. I fornitori devono spiegare,i contratti in modo semplice.,285
920,French,"Dans les villes, on trie les déchets et on recycle. Dans les campagnes, on plante des arbres. Les lois sur l’environnement deviennent plus","strictes, mais c’est difficile à appliquer.",386
1063,English,"Today it is March 5, 1990, and I am writing to describe how people’s health is changing in our time, with new ideas, new machines, and new treatments that arrive slowly but with strength. In many big cities and in small towns you can see innovations that once seemed distant and that are now entering daily life day by day. A big novelty concerns body imaging, because before it was difficult to understand what was happening inside a person. Now doctors use","modern machines such as magnetic resonance imaging, CT scans, and ultrasound, which show organs and tissues without cuts and major operations.",1437
894,French,"Quand il ne pleut pas, les réservoirs se vident et les rivières deviennent basses. Pour aider, on parle de bonne gestion: réparer les fuites, utiliser moins d'eau et partager mieux les ressources. Les agriculteurs irriguent",les champs avec des systèmes simples qui économisent l'eau.,596
708,German,"Auf EU-Ebene wird ein neues Umweltprogramm für die Jahre 2001 bis 2010 vorbereitet, das Ziele wie saubere Luft, Schutz der Wälder und Bodenschutz enthält. Die Debatte ist oft politisch, denn es gibt Interessen von Unternehmen und Arbeitnehmern. Trotzdem wächst der Wille, Verantwortung",für die Natur zu übernehmen und eine nachhaltigere Entwicklung zu fördern.,751
1148,Spanish,"En 2011, la idea es investigar y planificar. Las empresas y los científicos estudian cómo hacer 5G. Con 5G, las redes podrían ser",más rápidas y con menos retrasos.,338
910,French,"Les bénévoles aident aussi: ils distribuent des couvertures, apportent des médicaments et expliquent les règles de sécurité. Les habitants reçoivent des messages simples pour se protéger et pour rester en sécurité. Il faut du temps pour","atteindre toutes les personnes, mais on fait beaucoup pour aider.",624
1412,Italian,"I droni hanno molte applicazioni: foto, consegna, ispezioni e agricoltura. Anche il turismo spaziale inizia a interessare alcune aziende, ma resta molto costoso. Il mercato","richiede sicurezza, regole chiare e formazione continua.",546
1322,Spanish,"Las organizaciones internacionales envían dinero, alimentos, ropa y vacunas cuando es posible. Los voluntarios hablan con las familias en su idioma para explicar qué hacer y dónde buscar ayuda. En la radio y en las redes sociales se","dan avisos sobre refugios, lugares seguros y horarios de reparto.",625
1094,Italian,"Per quanto riguarda le autostrade, ci sono cantieri: si costruiscono ponti e svincoli. Questo può creare traffico, ma a lungo andare si guadagna in sicurezza e rapidità. Le biciclette sono molto",usate; molte persone vanno al lavoro in bici.,435
942,Italian,"Il governo dice che è importante investire nell’istruzione e nelle competenze pratiche. In questa situazione, la flessibilità può aiutare a trovare un lavoro. Il mercato del lavoro diventa meno statico e più dinamico. È una fase di transizione, ma la speranza è",che più persone trovino un mestiere stabile grazie alla formazione continua.,737
1109,English,"They prefer to see a prototype or an initial version of the service. In 2005, venture capital funds are available in many regions, but not everywhere. In the United States and in",some parts of Europe there are large investments.,484
1173,English,"A new bridge makes going to the center easier, and a tunnel helps to avoid traffic jams on rainy days. Transportation infrastructure is key for daily life: food arrives, workers go to work, and students come back. The costs for these","works are high, but they can save time and improve safety.",574
